date,F107,Mag,Xbg,FI
1998/1/1,101.6,6,1.60E-07,19.49
1998/1/2,101,3,2.20E-07,27.76
1998/1/3,101.1,2,4.10E-07,30.3
1998/1/4,90.7,2,1.20E-07,2.19
1998/1/5,89.3,2,7.80E-08,1.2
1998/1/6,87,2,5.50E-08,1.00E-08
1998/1/7,84.9,0,4.10E-08,1.00E-08
1998/1/8,82.2,0,2.80E-08,1.00E-08
1998/1/9,81.6,0,2.00E-08,1.00E-08
1998/1/10,80.7,1,1.20E-08,1.89
1998/1/11,84.8,4,1.20E-08,1.11
1998/1/12,95.8,6,9.40E-08,27.12
1998/1/13,90.4,6,2.20E-07,5.87
1998/1/14,93.9,5,1.10E-07,12.76
1998/1/15,97.8,5,3.20E-07,24.54
1998/1/16,97.5,8,1.70E-07,1.83
1998/1/17,95.9,9,1.20E-07,1.61
1998/1/18,95.1,5,9.20E-08,0.86
1998/1/19,93.5,7,9.40E-08,1.43
1998/1/20,91.4,4,9.20E-08,1.5
1998/1/21,90.9,2,7.10E-08,1.16
1998/1/22,93,3,6.10E-08,2.61
1998/1/23,96.9,4,9.70E-08,1.87
1998/1/24,97.5,6,1.20E-07,1.00E-08
1998/1/25,108.3,10,1.10E-07,17.91
1998/1/26,100,9,1.40E-07,12.37
1998/1/27,100.8,8,1.20E-07,1.4
1998/1/28,96.6,8,8.30E-08,1.1
1998/1/29,93.6,8,7.40E-08,2.88
1998/1/30,91,3,1.00E-07,1.11
1998/1/31,89.4,3,5.20E-08,0.23
1998/2/1,90.7,2,4.40E-08,0.13
1998/2/2,89.1,2,5.30E-08,1.65
1998/2/3,88.8,3,4.90E-08,0.87
1998/2/4,89.1,2,4.40E-08,0.66
1998/2/5,85.5,3,6.50E-08,1.00E-08
1998/2/6,84.2,3,2.60E-08,0.72
1998/2/7,83.1,2,2.60E-08,0.89
1998/2/8,83.6,3,3.60E-08,1.4
1998/2/9,83.7,3,3.80E-08,0.99
1998/2/10,83.7,5,4.50E-08,0.22
1998/2/11,86.2,5,3.30E-08,0.65
1998/2/12,90.6,5,5.10E-08,3.66
1998/2/13,94.7,4,6.30E-08,0.72
1998/2/14,104.8,5,1.20E-07,3.84
1998/2/15,107.3,5,3.20E-07,9.98
1998/2/16,106.8,5,1.70E-07,4.2
1998/2/17,104.9,5,2.20E-07,5.31
1998/2/18,103.3,7,1.20E-07,10.2
1998/2/19,98.5,4,1.30E-07,3.86
1998/2/20,95.7,5,9.30E-08,2.9
1998/2/21,94.8,2,6.80E-08,0.93
1998/2/22,95.5,3,7.10E-08,4.31
1998/2/23,99.4,4,2.10E-07,5.77
1998/2/24,98.6,5,2.60E-07,3.59
1998/2/25,94.7,4,1.60E-07,1.77
1998/2/26,92.7,4,6.70E-08,1.24
1998/2/27,90.3,5,4.50E-08,0.81
1998/2/28,94,4,6.30E-08,0.23
1998/3/1,98.3,6,1.10E-07,6.88
1998/3/2,56.8,6,1.30E-07,7.73
1998/3/3,96.6,3,2.20E-07,12.58
1998/3/4,101.7,6,3.20E-07,18.51
1998/3/5,96.7,5,5.70E-07,29.89
1998/3/6,91.7,4,2.10E-07,7.4
1998/3/7,91.9,4,2.30E-07,3.25
1998/3/8,91.2,4,1.60E-07,1.86
1998/3/9,90,3,1.40E-07,4.67
1998/3/10,96.3,5,1.50E-07,1.00E-08
1998/3/11,100.7,5,1.00E-07,2.89
1998/3/12,101.6,7,1.80E-07,3.39
1998/3/13,104.9,7,1.20E-07,8.65
1998/3/14,119.6,9,2.20E-07,7.7
1998/3/15,133,12,4.20E-07,92.16
1998/3/16,123.9,6,5.40E-07,47.23
1998/3/17,125.5,6,6.80E-07,15.62
1998/3/18,127,8,3.30E-07,13.62
