DateOfIssue, Date, value
2018-08-03 00:00:00, 2018-08-03 00:00:00, 70
2018-08-03 00:00:00, 2018-08-04 00:00:00, 70
2018-08-03 00:00:00, 2018-08-05 00:00:00, 70
2018-08-03 00:00:00, 2018-08-06 00:00:00, 70
2018-08-03 00:00:00, 2018-08-07 00:00:00, 70
2018-08-03 00:00:00, 2018-08-08 00:00:00, 70
2018-08-03 00:00:00, 2018-08-09 00:00:00, 71
2018-08-03 00:00:00, 2018-08-10 00:00:00, 72
2018-08-03 00:00:00, 2018-08-11 00:00:00, 72
2018-08-03 00:00:00, 2018-08-12 00:00:00, 72
2018-08-03 00:00:00, 2018-08-13 00:00:00, 72
2018-08-03 00:00:00, 2018-08-14 00:00:00, 72
2018-08-03 00:00:00, 2018-08-15 00:00:00, 72
2018-08-03 00:00:00, 2018-08-16 00:00:00, 72
2018-08-03 00:00:00, 2018-08-17 00:00:00, 72
2018-08-03 00:00:00, 2018-08-18 00:00:00, 72
2018-08-03 00:00:00, 2018-08-19 00:00:00, 71
2018-08-03 00:00:00, 2018-08-20 00:00:00, 71
2018-08-03 00:00:00, 2018-08-21 00:00:00, 70
2018-08-03 00:00:00, 2018-08-22 00:00:00, 70
2018-08-03 00:00:00, 2018-08-23 00:00:00, 69
2018-08-03 00:00:00, 2018-08-24 00:00:00, 69
2018-08-03 00:00:00, 2018-08-25 00:00:00, 69
2018-08-03 00:00:00, 2018-08-26 00:00:00, 69
2018-08-03 00:00:00, 2018-08-27 00:00:00, 69
2018-08-03 00:00:00, 2018-08-28 00:00:00, 69
2018-08-03 00:00:00, 2018-08-29 00:00:00, 70
2018-08-04 00:00:00, 2018-08-04 00:00:00, 70
2018-08-04 00:00:00, 2018-08-05 00:00:00, 70
2018-08-04 00:00:00, 2018-08-06 00:00:00, 70
2018-08-04 00:00:00, 2018-08-07 00:00:00, 70
2018-08-04 00:00:00, 2018-08-08 00:00:00, 70
2018-08-04 00:00:00, 2018-08-09 00:00:00, 71
2018-08-04 00:00:00, 2018-08-10 00:00:00, 71
2018-08-04 00:00:00, 2018-08-11 00:00:00, 72
2018-08-04 00:00:00, 2018-08-12 00:00:00, 72
2018-08-04 00:00:00, 2018-08-13 00:00:00, 71
2018-08-04 00:00:00, 2018-08-14 00:00:00, 71
2018-08-04 00:00:00, 2018-08-15 00:00:00, 72
2018-08-04 00:00:00, 2018-08-16 00:00:00, 72
2018-08-04 00:00:00, 2018-08-17 00:00:00, 72
2018-08-04 00:00:00, 2018-08-18 00:00:00, 72
2018-08-04 00:00:00, 2018-08-19 00:00:00, 71
2018-08-04 00:00:00, 2018-08-20 00:00:00, 71
2018-08-04 00:00:00, 2018-08-21 00:00:00, 70
2018-08-04 00:00:00, 2018-08-22 00:00:00, 70
2018-08-04 00:00:00, 2018-08-23 00:00:00, 69
2018-08-04 00:00:00, 2018-08-24 00:00:00, 69
2018-08-04 00:00:00, 2018-08-25 00:00:00, 69
2018-08-04 00:00:00, 2018-08-26 00:00:00, 69
2018-08-04 00:00:00, 2018-08-27 00:00:00, 69
2018-08-04 00:00:00, 2018-08-28 00:00:00, 69
2018-08-04 00:00:00, 2018-08-29 00:00:00, 70
2018-08-04 00:00:00, 2018-08-30 00:00:00, 70
2018-08-05 00:00:00, 2018-08-05 00:00:00, 70
2018-08-05 00:00:00, 2018-08-06 00:00:00, 70
2018-08-05 00:00:00, 2018-08-07 00:00:00, 70
2018-08-05 00:00:00, 2018-08-08 00:00:00, 70
2018-08-05 00:00:00, 2018-08-09 00:00:00, 71
2018-08-05 00:00:00, 2018-08-10 00:00:00, 72
2018-08-05 00:00:00, 2018-08-11 00:00:00, 72
2018-08-05 00:00:00, 2018-08-12 00:00:00, 72
2018-08-05 00:00:00, 2018-08-13 00:00:00, 72
2018-08-05 00:00:00, 2018-08-14 00:00:00, 72
2018-08-05 00:00:00, 2018-08-15 00:00:00, 72
2018-08-05 00:00:00, 2018-08-16 00:00:00, 72
2018-08-05 00:00:00, 2018-08-17 00:00:00, 72
2018-08-05 00:00:00, 2018-08-18 00:00:00, 72
2018-08-05 00:00:00, 2018-08-19 00:00:00, 71
2018-08-05 00:00:00, 2018-08-20 00:00:00, 71
2018-08-05 00:00:00, 2018-08-21 00:00:00, 70
2018-08-05 00:00:00, 2018-08-22 00:00:00, 70
2018-08-05 00:00:00, 2018-08-23 00:00:00, 69
2018-08-05 00:00:00, 2018-08-24 00:00:00, 69
2018-08-05 00:00:00, 2018-08-25 00:00:00, 69
2018-08-05 00:00:00, 2018-08-26 00:00:00, 69
2018-08-05 00:00:00, 2018-08-27 00:00:00, 69
2018-08-05 00:00:00, 2018-08-28 00:00:00, 69
2018-08-05 00:00:00, 2018-08-29 00:00:00, 70
2018-08-05 00:00:00, 2018-08-30 00:00:00, 70
2018-08-05 00:00:00, 2018-08-31 00:00:00, 70
2018-08-06 00:00:00, 2018-08-06 00:00:00, 69
2018-08-06 00:00:00, 2018-08-07 00:00:00, 69
2018-08-06 00:00:00, 2018-08-08 00:00:00, 70
2018-08-06 00:00:00, 2018-08-09 00:00:00, 70
2018-08-06 00:00:00, 2018-08-10 00:00:00, 71
2018-08-06 00:00:00, 2018-08-11 00:00:00, 71
2018-08-06 00:00:00, 2018-08-12 00:00:00, 71
2018-08-06 00:00:00, 2018-08-13 00:00:00, 71
2018-08-06 00:00:00, 2018-08-14 00:00:00, 71
2018-08-06 00:00:00, 2018-08-15 00:00:00, 72
2018-08-06 00:00:00, 2018-08-16 00:00:00, 72
2018-08-06 00:00:00, 2018-08-17 00:00:00, 72
2018-08-06 00:00:00, 2018-08-18 00:00:00, 72
2018-08-06 00:00:00, 2018-08-19 00:00:00, 71
2018-08-06 00:00:00, 2018-08-20 00:00:00, 71
2018-08-06 00:00:00, 2018-08-21 00:00:00, 70
2018-08-06 00:00:00, 2018-08-22 00:00:00, 70
2018-08-06 00:00:00, 2018-08-23 00:00:00, 69
2018-08-06 00:00:00, 2018-08-24 00:00:00, 69
2018-08-06 00:00:00, 2018-08-25 00:00:00, 69
2018-08-06 00:00:00, 2018-08-26 00:00:00, 69
2018-08-06 00:00:00, 2018-08-27 00:00:00, 69
2018-08-06 00:00:00, 2018-08-28 00:00:00, 69
2018-08-06 00:00:00, 2018-08-29 00:00:00, 70
2018-08-06 00:00:00, 2018-08-30 00:00:00, 70
2018-08-06 00:00:00, 2018-08-31 00:00:00, 70
2018-08-06 00:00:00, 2018-09-01 00:00:00, 71
2018-08-07 00:00:00, 2018-08-07 00:00:00, 69
2018-08-07 00:00:00, 2018-08-08 00:00:00, 70
2018-08-07 00:00:00, 2018-08-09 00:00:00, 70
2018-08-07 00:00:00, 2018-08-10 00:00:00, 71
2018-08-07 00:00:00, 2018-08-11 00:00:00, 71
2018-08-07 00:00:00, 2018-08-12 00:00:00, 71
2018-08-07 00:00:00, 2018-08-13 00:00:00, 71
2018-08-07 00:00:00, 2018-08-14 00:00:00, 71
2018-08-07 00:00:00, 2018-08-15 00:00:00, 72
2018-08-07 00:00:00, 2018-08-16 00:00:00, 72
2018-08-07 00:00:00, 2018-08-17 00:00:00, 72
2018-08-07 00:00:00, 2018-08-18 00:00:00, 72
2018-08-07 00:00:00, 2018-08-19 00:00:00, 71
2018-08-07 00:00:00, 2018-08-20 00:00:00, 71
2018-08-07 00:00:00, 2018-08-21 00:00:00, 70
2018-08-07 00:00:00, 2018-08-22 00:00:00, 69
2018-08-07 00:00:00, 2018-08-23 00:00:00, 69
2018-08-07 00:00:00, 2018-08-24 00:00:00, 69
2018-08-07 00:00:00, 2018-08-25 00:00:00, 69
2018-08-07 00:00:00, 2018-08-26 00:00:00, 69
2018-08-07 00:00:00, 2018-08-27 00:00:00, 69
2018-08-07 00:00:00, 2018-08-28 00:00:00, 69
2018-08-07 00:00:00, 2018-08-29 00:00:00, 70
2018-08-07 00:00:00, 2018-08-30 00:00:00, 70
2018-08-07 00:00:00, 2018-08-31 00:00:00, 70
2018-08-07 00:00:00, 2018-09-01 00:00:00, 70
2018-08-07 00:00:00, 2018-09-02 00:00:00, 71
2018-08-08 00:00:00, 2018-08-08 00:00:00, 70
2018-08-08 00:00:00, 2018-08-09 00:00:00, 71
2018-08-08 00:00:00, 2018-08-10 00:00:00, 72
2018-08-08 00:00:00, 2018-08-11 00:00:00, 72
2018-08-08 00:00:00, 2018-08-12 00:00:00, 72
2018-08-08 00:00:00, 2018-08-13 00:00:00, 72
2018-08-08 00:00:00, 2018-08-14 00:00:00, 72
2018-08-08 00:00:00, 2018-08-15 00:00:00, 72
2018-08-08 00:00:00, 2018-08-16 00:00:00, 72
2018-08-08 00:00:00, 2018-08-17 00:00:00, 72
2018-08-08 00:00:00, 2018-08-18 00:00:00, 72
2018-08-08 00:00:00, 2018-08-19 00:00:00, 71
2018-08-08 00:00:00, 2018-08-20 00:00:00, 71
2018-08-08 00:00:00, 2018-08-21 00:00:00, 70
2018-08-08 00:00:00, 2018-08-22 00:00:00, 70
2018-08-08 00:00:00, 2018-08-23 00:00:00, 69
2018-08-08 00:00:00, 2018-08-24 00:00:00, 69
2018-08-08 00:00:00, 2018-08-25 00:00:00, 69
2018-08-08 00:00:00, 2018-08-26 00:00:00, 69
2018-08-08 00:00:00, 2018-08-27 00:00:00, 69
2018-08-08 00:00:00, 2018-08-28 00:00:00, 69
2018-08-08 00:00:00, 2018-08-29 00:00:00, 70
2018-08-08 00:00:00, 2018-08-30 00:00:00, 70
2018-08-08 00:00:00, 2018-08-31 00:00:00, 71
2018-08-08 00:00:00, 2018-09-01 00:00:00, 71
2018-08-08 00:00:00, 2018-09-02 00:00:00, 71
2018-08-08 00:00:00, 2018-09-03 00:00:00, 71
2018-08-09 00:00:00, 2018-08-09 00:00:00, 71
2018-08-09 00:00:00, 2018-08-10 00:00:00, 72
2018-08-09 00:00:00, 2018-08-11 00:00:00, 72
2018-08-09 00:00:00, 2018-08-12 00:00:00, 72
2018-08-09 00:00:00, 2018-08-13 00:00:00, 72
2018-08-09 00:00:00, 2018-08-14 00:00:00, 72
2018-08-09 00:00:00, 2018-08-15 00:00:00, 72
2018-08-09 00:00:00, 2018-08-16 00:00:00, 72
2018-08-09 00:00:00, 2018-08-17 00:00:00, 72
2018-08-09 00:00:00, 2018-08-18 00:00:00, 72
2018-08-09 00:00:00, 2018-08-19 00:00:00, 71
2018-08-09 00:00:00, 2018-08-20 00:00:00, 71
2018-08-09 00:00:00, 2018-08-21 00:00:00, 70
2018-08-09 00:00:00, 2018-08-22 00:00:00, 70
2018-08-09 00:00:00, 2018-08-23 00:00:00, 69
2018-08-09 00:00:00, 2018-08-24 00:00:00, 69
2018-08-09 00:00:00, 2018-08-25 00:00:00, 69
2018-08-09 00:00:00, 2018-08-26 00:00:00, 69
2018-08-09 00:00:00, 2018-08-27 00:00:00, 69
2018-08-09 00:00:00, 2018-08-28 00:00:00, 69
2018-08-09 00:00:00, 2018-08-29 00:00:00, 70
2018-08-09 00:00:00, 2018-08-30 00:00:00, 70
2018-08-09 00:00:00, 2018-08-31 00:00:00, 70
2018-08-09 00:00:00, 2018-09-01 00:00:00, 71
2018-08-09 00:00:00, 2018-09-02 00:00:00, 71
2018-08-09 00:00:00, 2018-09-03 00:00:00, 71
2018-08-09 00:00:00, 2018-09-04 00:00:00, 71
2018-08-10 00:00:00, 2018-08-10 00:00:00, 71
2018-08-10 00:00:00, 2018-08-11 00:00:00, 71
2018-08-10 00:00:00, 2018-08-12 00:00:00, 71
2018-08-10 00:00:00, 2018-08-13 00:00:00, 71
2018-08-10 00:00:00, 2018-08-14 00:00:00, 71
2018-08-10 00:00:00, 2018-08-15 00:00:00, 71
2018-08-10 00:00:00, 2018-08-16 00:00:00, 72
2018-08-10 00:00:00, 2018-08-17 00:00:00, 72
2018-08-10 00:00:00, 2018-08-18 00:00:00, 71
2018-08-10 00:00:00, 2018-08-19 00:00:00, 71
2018-08-10 00:00:00, 2018-08-20 00:00:00, 71
2018-08-10 00:00:00, 2018-08-21 00:00:00, 70
2018-08-10 00:00:00, 2018-08-22 00:00:00, 69
2018-08-10 00:00:00, 2018-08-23 00:00:00, 69
2018-08-10 00:00:00, 2018-08-24 00:00:00, 69
2018-08-10 00:00:00, 2018-08-25 00:00:00, 69
2018-08-10 00:00:00, 2018-08-26 00:00:00, 69
2018-08-10 00:00:00, 2018-08-27 00:00:00, 69
2018-08-10 00:00:00, 2018-08-28 00:00:00, 69
2018-08-10 00:00:00, 2018-08-29 00:00:00, 70
2018-08-10 00:00:00, 2018-08-30 00:00:00, 70
2018-08-10 00:00:00, 2018-08-31 00:00:00, 70
2018-08-10 00:00:00, 2018-09-01 00:00:00, 70
2018-08-10 00:00:00, 2018-09-02 00:00:00, 71
2018-08-10 00:00:00, 2018-09-03 00:00:00, 71
2018-08-10 00:00:00, 2018-09-04 00:00:00, 71
2018-08-10 00:00:00, 2018-09-05 00:00:00, 71
2018-08-11 00:00:00, 2018-08-11 00:00:00, 70
2018-08-11 00:00:00, 2018-08-12 00:00:00, 70
2018-08-11 00:00:00, 2018-08-13 00:00:00, 70
2018-08-11 00:00:00, 2018-08-14 00:00:00, 70
2018-08-11 00:00:00, 2018-08-15 00:00:00, 71
2018-08-11 00:00:00, 2018-08-16 00:00:00, 71
2018-08-11 00:00:00, 2018-08-17 00:00:00, 71
2018-08-11 00:00:00, 2018-08-18 00:00:00, 71
2018-08-11 00:00:00, 2018-08-19 00:00:00, 71
2018-08-11 00:00:00, 2018-08-20 00:00:00, 70
2018-08-11 00:00:00, 2018-08-21 00:00:00, 70
2018-08-11 00:00:00, 2018-08-22 00:00:00, 69
2018-08-11 00:00:00, 2018-08-23 00:00:00, 69
2018-08-11 00:00:00, 2018-08-24 00:00:00, 69
2018-08-11 00:00:00, 2018-08-25 00:00:00, 69
2018-08-11 00:00:00, 2018-08-26 00:00:00, 69
2018-08-11 00:00:00, 2018-08-27 00:00:00, 69
2018-08-11 00:00:00, 2018-08-28 00:00:00, 69
2018-08-11 00:00:00, 2018-08-29 00:00:00, 69
2018-08-11 00:00:00, 2018-08-30 00:00:00, 70
2018-08-11 00:00:00, 2018-08-31 00:00:00, 70
2018-08-11 00:00:00, 2018-09-01 00:00:00, 70
2018-08-11 00:00:00, 2018-09-02 00:00:00, 71
2018-08-11 00:00:00, 2018-09-03 00:00:00, 71
2018-08-11 00:00:00, 2018-09-04 00:00:00, 71
2018-08-11 00:00:00, 2018-09-05 00:00:00, 71
2018-08-11 00:00:00, 2018-09-06 00:00:00, 71
2018-08-12 00:00:00, 2018-08-12 00:00:00, 68
2018-08-12 00:00:00, 2018-08-13 00:00:00, 68
2018-08-12 00:00:00, 2018-08-14 00:00:00, 68
2018-08-12 00:00:00, 2018-08-15 00:00:00, 68
2018-08-12 00:00:00, 2018-08-16 00:00:00, 69
2018-08-12 00:00:00, 2018-08-17 00:00:00, 69
2018-08-12 00:00:00, 2018-08-18 00:00:00, 69
2018-08-12 00:00:00, 2018-08-19 00:00:00, 69
2018-08-12 00:00:00, 2018-08-20 00:00:00, 69
2018-08-12 00:00:00, 2018-08-21 00:00:00, 69
2018-08-12 00:00:00, 2018-08-22 00:00:00, 69
