DateOfIssue, Date, value
2018-05-07 01:47:00, 2018-05-07 00:00:00, 68
2018-05-07 01:47:00, 2018-05-08 00:00:00, 68
2018-05-07 01:47:00, 2018-05-09 00:00:00, 68
2018-05-07 01:47:00, 2018-05-10 00:00:00, 68
2018-05-07 01:47:00, 2018-05-11 00:00:00, 68
2018-05-07 01:47:00, 2018-05-12 00:00:00, 68
2018-05-07 01:47:00, 2018-05-13 00:00:00, 70
2018-05-07 01:47:00, 2018-05-14 00:00:00, 72
2018-05-07 01:47:00, 2018-05-15 00:00:00, 72
2018-05-07 01:47:00, 2018-05-16 00:00:00, 72
2018-05-07 01:47:00, 2018-05-17 00:00:00, 72
2018-05-07 01:47:00, 2018-05-18 00:00:00, 72
2018-05-07 01:47:00, 2018-05-19 00:00:00, 72
2018-05-07 01:47:00, 2018-05-20 00:00:00, 72
2018-05-07 01:47:00, 2018-05-21 00:00:00, 72
2018-05-07 01:47:00, 2018-05-22 00:00:00, 72
2018-05-07 01:47:00, 2018-05-23 00:00:00, 72
2018-05-07 01:47:00, 2018-05-24 00:00:00, 72
2018-05-07 01:47:00, 2018-05-25 00:00:00, 72
2018-05-07 01:47:00, 2018-05-26 00:00:00, 70
2018-05-07 01:47:00, 2018-05-27 00:00:00, 68
2018-05-07 01:47:00, 2018-05-28 00:00:00, 68
2018-05-07 01:47:00, 2018-05-29 00:00:00, 68
2018-05-07 01:47:00, 2018-05-30 00:00:00, 68
2018-05-07 01:47:00, 2018-05-31 00:00:00, 68
2018-05-07 01:47:00, 2018-06-01 00:00:00, 68
2018-05-07 01:47:00, 2018-06-02 00:00:00, 68
2018-05-14 06:29:00, 2018-05-14 00:00:00, 71
2018-05-14 06:29:00, 2018-05-15 00:00:00, 71
2018-05-14 06:29:00, 2018-05-16 00:00:00, 71
2018-05-14 06:29:00, 2018-05-17 00:00:00, 71
2018-05-14 06:29:00, 2018-05-18 00:00:00, 71
2018-05-14 06:29:00, 2018-05-19 00:00:00, 70
2018-05-14 06:29:00, 2018-05-20 00:00:00, 70
2018-05-14 06:29:00, 2018-05-21 00:00:00, 70
2018-05-14 06:29:00, 2018-05-22 00:00:00, 70
2018-05-14 06:29:00, 2018-05-23 00:00:00, 70
2018-05-14 06:29:00, 2018-05-24 00:00:00, 70
2018-05-14 06:29:00, 2018-05-25 00:00:00, 70
2018-05-14 06:29:00, 2018-05-26 00:00:00, 70
2018-05-14 06:29:00, 2018-05-27 00:00:00, 70
2018-05-14 06:29:00, 2018-05-28 00:00:00, 70
2018-05-14 06:29:00, 2018-05-29 00:00:00, 70
2018-05-14 06:29:00, 2018-05-30 00:00:00, 68
2018-05-14 06:29:00, 2018-05-31 00:00:00, 68
2018-05-14 06:29:00, 2018-06-01 00:00:00, 68
2018-05-14 06:29:00, 2018-06-02 00:00:00, 68
2018-05-14 06:29:00, 2018-06-03 00:00:00, 70
2018-05-14 06:29:00, 2018-06-04 00:00:00, 70
2018-05-14 06:29:00, 2018-06-05 00:00:00, 70
2018-05-14 06:29:00, 2018-06-06 00:00:00, 70
2018-05-14 06:29:00, 2018-06-07 00:00:00, 70
2018-05-14 06:29:00, 2018-06-08 00:00:00, 70
2018-05-14 06:29:00, 2018-06-09 00:00:00, 71
2018-05-21 00:42:00, 2018-05-21 00:00:00, 69
2018-05-21 00:42:00, 2018-05-22 00:00:00, 69
2018-05-21 00:42:00, 2018-05-23 00:00:00, 69
2018-05-21 00:42:00, 2018-05-24 00:00:00, 69
2018-05-21 00:42:00, 2018-05-25 00:00:00, 70
2018-05-21 00:42:00, 2018-05-26 00:00:00, 70
2018-05-21 00:42:00, 2018-05-27 00:00:00, 70
2018-05-21 00:42:00, 2018-05-28 00:00:00, 70
2018-05-21 00:42:00, 2018-05-29 00:00:00, 70
2018-05-21 00:42:00, 2018-05-30 00:00:00, 70
2018-05-21 00:42:00, 2018-05-31 00:00:00, 70
2018-05-21 00:42:00, 2018-06-01 00:00:00, 70
2018-05-21 00:42:00, 2018-06-02 00:00:00, 70
2018-05-21 00:42:00, 2018-06-03 00:00:00, 70
2018-05-21 00:42:00, 2018-06-04 00:00:00, 70
2018-05-21 00:42:00, 2018-06-05 00:00:00, 70
2018-05-21 00:42:00, 2018-06-06 00:00:00, 70
2018-05-21 00:42:00, 2018-06-07 00:00:00, 68
2018-05-21 00:42:00, 2018-06-08 00:00:00, 68
2018-05-21 00:42:00, 2018-06-09 00:00:00, 68
2018-05-21 00:42:00, 2018-06-10 00:00:00, 68
2018-05-21 00:42:00, 2018-06-11 00:00:00, 68
2018-05-21 00:42:00, 2018-06-12 00:00:00, 68
